상품명,가격,평점,리뷰 수,링크,이미지 파일
"항공직송 미국 체리, 700g, 1개",0,0.0,0,https://www.coupang.com/vp/products/5464891880?itemId=8374591538&vendorItemId=75662305876&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\항공직송 미국 체리, 700g, 1개.jpg"
"돌 스위티오 바나나, 1kg 내외, 1개",0,0.0,0,https://www.coupang.com/vp/products/218520566?itemId=490814306&vendorItemId=4242007843&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\돌 스위티오 바나나, 1kg 내외, 1개.jpg"
"델몬트 필리핀 바나나, 1.4kg 내외, 1개",0,0.0,0,https://www.coupang.com/vp/products/6354913981?itemId=16734614225&vendorItemId=83916573827&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\델몬트 필리핀 바나나, 1.4kg 내외, 1개.jpg"
"세도농협 GAP 인증 대추방울토마토, 1kg, 1박스",0,0.0,0,https://www.coupang.com/vp/products/327206043?itemId=1046983315&vendorItemId=5510129601&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\세도농협 GAP 인증 대추방울토마토, 1kg, 1박스.jpg"
"곰곰 스테비아 대추방울토마토, 500g, 1팩",0,0.0,0,https://www.coupang.com/vp/products/6101896267?itemId=17397278390&vendorItemId=84566737697&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 스테비아 대추방울토마토, 500g, 1팩.jpg"
"항공직송 미국 체리, 300g, 1개",0,0.0,0,https://www.coupang.com/vp/products/5464891880?itemId=14138066560&vendorItemId=81384782134&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\항공직송 미국 체리, 300g, 1개.jpg"
"곰곰 당도선별 수박 (11 brix 이상), 4kg 이상, 1개",0,0.0,0,https://www.coupang.com/vp/products/5341974172?itemId=7833549540&vendorItemId=75123335566&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 당도선별 수박 (11 brix 이상), 4kg 이상, 1개.jpg"
"곰곰 당도선별 성주참외, 1kg  (4~5입), 1봉",0,0.0,0,https://www.coupang.com/vp/products/5077571944?itemId=6883556438&vendorItemId=74176558555&pickType=COU_PICK&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 당도선별 성주참외, 1kg  (4~5입), 1봉.jpg"
"성주 당도선별 꼬마참외 10~16입, 2kg(10~16입), 1개",0,0.0,0,https://www.coupang.com/vp/products/8112615504?itemId=22990014282&vendorItemId=90023959586&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\성주 당도선별 꼬마참외 10~16입, 2kg(10~16입), 1개.jpg"
"셀렉트팜 GAP 인증 A 초록사과 소과, 1.5kg(소과/9~10입), 1개",0,0.0,0,https://www.coupang.com/vp/products/7440092608?itemId=19344788853&vendorItemId=86458206298&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\셀렉트팜 GAP 인증 A 초록사과 소과, 1.5kg(소과9~10입), 1개.jpg"
