국가,지수명,가격,일별 변동,일별 %,주간 %,월간 %,YTD %,YoY %,날짜,국기 파일 경로
US,US500,6398.98,9.21,0.14%,1.42%,3.13%,8.80%,17.71%,2025-07-29,flags\US.png
US,US30,44872,34,0.08%,0.83%,1.76%,5.47%,10.13%,2025-07-29,flags\US.png
US,US100,23424,68,0.29%,1.56%,3.29%,11.48%,24.62%,2025-07-29,flags\US.png
JP,JP225,40660,338,-0.83%,2.23%,0.43%,1.92%,5.54%,2025-07-29,flags\JP.png
GB,GB100,9081,39,-0.43%,0.76%,3.66%,11.11%,9.52%,2025-07-28,flags\GB.png
DE,DE40,23989,19,0.08%,-0.22%,0.33%,20.49%,30.30%,2025-07-29,flags\DE.png
FR,FR40,7801,34,-0.43%,0.03%,1.76%,5.69%,4.80%,2025-07-28,flags\FR.png
IT,IT40,40732,6,0.01%,1.41%,2.36%,19.15%,21.08%,2025-07-28,flags\IT.png
ES,ES35,14220,17,-0.12%,1.34%,1.63%,22.64%,27.90%,2025-07-28,flags\ES.png
AU,ASX200,8649,48,-0.56%,-0.32%,1.25%,6.01%,8.75%,2025-07-29,flags\AU.png
CN,SHANGHAI,3598,4,0.12%,1.07%,4.46%,7.34%,24.42%,2025-07-28,flags\CN.png
IN,SENSEX,80891,572,-0.70%,-1.59%,-3.25%,3.52%,-0.57%,2025-07-28,flags\IN.png
CA,TSX,27405,89,-0.32%,0.32%,2.04%,10.83%,20.31%,2025-07-28,flags\CA.png
RU,MOEX,2732,41,-1.46%,-3.19%,-4.06%,-5.24%,-6.07%,2025-07-28,flags\RU.png
BR,IBOVESPA,132129,"1,395",-1.04%,-1.52%,-4.84%,9.85%,4.08%,2025-07-28,flags\BR.png
MX,IPC,57084,240,-0.42%,2.22%,-0.64%,15.21%,8.70%,2025-07-28,flags\MX.png
NL,NL25,908,3,0.29%,-0.04%,-0.57%,3.35%,0.43%,2025-07-28,flags\NL.png
CH,CH20,11915,41,-0.34%,-0.18%,-0.05%,2.71%,-2.46%,2025-07-28,flags\CH.png
ZA,SAALL,98696,222,-0.22%,-0.96%,2.35%,17.36%,21.83%,2025-07-28,flags\ZA.png
SG,STI,4233,9,-0.20%,0.58%,6.77%,11.75%,22.98%,2025-07-29,flags\SG.png
HK,HK50,25344,218,-0.85%,0.85%,5.28%,26.34%,49.06%,2025-07-29,flags\HK.png
NZ,NZX 50,12897,5,0.04%,0.49%,2.33%,-1.63%,4.08%,2025-07-29,flags\NZ.png
EA,EU50,5347,10,0.19%,1.07%,0.83%,9.22%,10.46%,2025-07-29,flags\EA.png
